Provience,hrefs_prov,cities,hrefs_city,address,hrefs_site,Has WiFi,Catering Available,Dine In,Take Out,Dine-In Sunday,Dine-In Monday,Dine-In Tuesday,Dine-In Wednesday,Dine-In Thursday,Dine-In Friday,Dine-In Saturday,Drive-Thru Sunday,Drive-Thru Monday,Drive-Thru Tuesday,Drive-Thru Wednesday,Drive-Thru Thursday,Drive-Thru Friday,Drive-Thru Saturday,lat,lng
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Iqaluit ,https://locations.timhortons.ca/en/locations-list/nu/iqaluit,"  1000 Kangut/inuksugait Plaza, Iqaluit NU X0A 0H0 ",https://locations.timhortons.ca/en/nu/iqaluit/1000-kangut-inuksugait-plaza,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,62.449546215333754,-64.6372104550885
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Iqaluit ,https://locations.timhortons.ca/en/locations-list/nu/iqaluit,"  540 Niaqunngusiariaq, Iqaluit NU X0A 0H0 ",https://locations.timhortons.ca/en/nu/iqaluit/540-niaqunngusiariaq,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,63.74816801107869,-68.5019230323387
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Iqaluit ,https://locations.timhortons.ca/en/locations-list/nu/iqaluit,"  Apex C-store - Outer Nunavut Iqaluit, Iqaluit NU X0A 0H0 ",https://locations.timhortons.ca/en/nu/iqaluit/apex-c-store-outer-nunavut-iqaluit,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,62.449546215333754,-64.6372104550885
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Northern Arviat ,https://locations.timhortons.ca/en/locations-list/nu/northern-arviat,"  3rd Ave, Northern Arviat NU X0C 0E0 ",https://locations.timhortons.ca/en/nu/northern-arviat/3rd-ave,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,62.03644667381255,-96.32921905085874
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Pond Inlet ,https://locations.timhortons.ca/en/locations-list/nu/pond-inlet,"  Northern Pond Inlet, Pond Inlet NU X0A 0S0 ",https://locations.timhortons.ca/en/nu/pond-inlet/northern-pond-inlet,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,73.24502637295288,-78.66540559505364
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Rankin Inlet ,https://locations.timhortons.ca/en/locations-list/nu/rankin-inlet,"  24 Inukshuk Ave, Rankin Inlet NU X0C 0G0 ",https://locations.timhortons.ca/en/nu/rankin-inlet/24-inukshuk-ave,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,7:00 AM - 8:00 PM,62.667849698414955,-91.07249590152526
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Rankin Inlet ,https://locations.timhortons.ca/en/locations-list/nu/rankin-inlet,"  Box 70 Northern Store, Rankin Inlet NU X0C 0G0 ",https://locations.timhortons.ca/en/nu/rankin-inlet/box-70-northern-store,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,62.667849698414955,-91.07249590152526
 Nunavut ,https://locations.timhortons.ca/en/locations-list/nu, Rankin Inlet ,https://locations.timhortons.ca/en/locations-list/nu/rankin-inlet,"  Kvalliq St, Rankin Inlet NU X0C 0G0 ",https://locations.timhortons.ca/en/nu/rankin-inlet/kvalliq-st,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,62.667849698414955,-91.07249590152526
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Acton ,https://locations.timhortons.ca/en/locations-list/on/acton,"  318 Queen St East, Acton ON L7J 1R2 ",https://locations.timhortons.ca/en/on/acton/318-queen-st-east,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,43.63585998939158,-80.02916999162602
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  1 Harwood Ave South, Ajax ON L1S 2C1 ",https://locations.timhortons.ca/en/on/ajax/1-harwood-ave-south,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,43.86096119594805,-79.02521957597938
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  211 Bayly St East, Ajax ON L1S 4S7 ",https://locations.timhortons.ca/en/on/ajax/211-bayly-st-east,No,No,No,Yes,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,43.84610548794555,-79.0072175110724
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  245 Salem Rd South, Ajax ON L1Z 2C9 ",https://locations.timhortons.ca/en/on/ajax/245-salem-rd-south,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,43.852856985224804,-79.00879498525
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  274 Kingston Rd, Ajax ON L1Z 1G1 ",https://locations.timhortons.ca/en/on/ajax/274-kingston-rd,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,43.86479499464147,-79.01274403511209
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  290 Harwood Ave South, Ajax ON L1S 2J1 ",https://locations.timhortons.ca/en/on/ajax/290-harwood-ave-south,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,43.84654801052369,-79.01992296754379
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  330 Rossland Rd East, Ajax ON L1T 4V2 ",https://locations.timhortons.ca/en/on/ajax/330-rossland-rd-east,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,43.88252058247221,-79.01658059983355
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  449 Westney Rd South, Ajax ON L1S 6M6 ",https://locations.timhortons.ca/en/on/ajax/449-westney-rd-south,Yes,No,Yes,Yes,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,4:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,43.83441470276304,-79.03345647222989
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  460 Bayly St West, Ajax ON L1S 1P1 ",https://locations.timhortons.ca/en/on/ajax/460-bayly-st-west,No,No,Yes,Yes,Closed,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Closed,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,6:00 AM - 11:00 PM,43.84075598970091,-79.03477402359003
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  500 Bayly Street East - Employee Access Only, Ajax ON L1Z 0B2 ",https://locations.timhortons.ca/en/on/ajax/500-bayly-street-east-employee-access-only,No,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,43.852031200123974,-78.99143212427917
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  87 Middlecote Dr, Ajax ON L1T 0K3 ",https://locations.timhortons.ca/en/on/ajax/87-middlecote-dr,Yes,No,No,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,43.89681541542373,-79.03328556522415
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ajax ,https://locations.timhortons.ca/en/locations-list/on/ajax,"  989 Harwood Ave North, Ajax ON L1Z 1Y7 ",https://locations.timhortons.ca/en/on/ajax/989-harwood-ave-north,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,43.8794800051858,-79.02621802828564
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Alexandria ,https://locations.timhortons.ca/en/locations-list/on/alexandria,"  488 Main St South, Alexandria ON K0C 1A0 ",https://locations.timhortons.ca/en/on/alexandria/488-main-st-south,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,45.093357490884785,-75.35300955891283
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Alfred ,https://locations.timhortons.ca/en/locations-list/on/alfred,"  108 County Rd 17 St Phillipe St, Alfred ON K0B 1A0 ",https://locations.timhortons.ca/en/on/alfred/108-county-rd-17-st-phillipe-st,Yes,No,Yes,Yes,4:30 AM - 10:00 PM,4:30 AM - 10:00 PM,4:30 AM - 10:00 PM,4:30 AM - 10:00 PM,4:30 AM - 10:00 PM,4:30 AM - 10:00 PM,4:30 AM - 10:00 PM,5:00 AM - 11:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,45.521116142869516,-74.84140023348918
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Alliston ,https://locations.timhortons.ca/en/locations-list/on/alliston,"  157a Young St, Alliston ON L9R 2A9 ",https://locations.timhortons.ca/en/on/alliston/157a-young-st,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,44.14715361043213,-79.88740736613396
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Alliston ,https://locations.timhortons.ca/en/locations-list/on/alliston,"  3 Dunham Dr, Alliston ON L9R 0G1 ",https://locations.timhortons.ca/en/on/alliston/3-dunham-dr,Yes,Yes,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,44.161282188334155,-79.82284793621993
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Alliston ,https://locations.timhortons.ca/en/locations-list/on/alliston,"  4700 Tottenham Rd, Alliston ON L9R 1N8 ",https://locations.timhortons.ca/en/on/alliston/4700-tottenham-rd,No,No,Yes,Yes,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,44.15692070692634,-79.87724598491437
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Alliston ,https://locations.timhortons.ca/en/locations-list/on/alliston,"  4894 County Rd 50, Alliston ON L9R 1V1 ",https://locations.timhortons.ca/en/on/alliston/4894-county-rd-50,No,No,Yes,Yes,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,44.14047050948275,-79.91382016796331
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Almonte ,https://locations.timhortons.ca/en/locations-list/on/almonte,"  105 Sadler Dr, Almonte ON K0A 1A0 ",https://locations.timhortons.ca/en/on/almonte/105-sadler-dr,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,45.235351917909156,-76.1845734790827
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Amherstburg ,https://locations.timhortons.ca/en/locations-list/on/amherstburg,"  535 Sandwich St, Amherstburg ON N9V 2B2 ",https://locations.timhortons.ca/en/on/amherstburg/535-sandwich-st,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,42.09202259876395,-83.10700827422878
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ancaster ,https://locations.timhortons.ca/en/locations-list/on/ancaster,"  1136 Golf Links Rd, Ancaster ON L9G 3K9 ",https://locations.timhortons.ca/en/on/ancaster/1136-golf-links-rd,No,No,No,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,43.227762390499834,-79.93732252155306
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ancaster ,https://locations.timhortons.ca/en/locations-list/on/ancaster,"  1180 Hwy # 2, Ancaster ON L9G 3K9 ",https://locations.timhortons.ca/en/on/ancaster/1180-hwy-2,Yes,Yes,Yes,Yes,5:00 AM - 12:00 PM,5:00 AM - 12:00 PM,5:00 AM - 12:00 PM,5:00 AM - 12:00 PM,5:00 AM - 12:00 PM,5:00 AM - 12:00 PM,5:00 AM - 12:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,43.20245574843253,-79.93986542333843
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ancaster ,https://locations.timhortons.ca/en/locations-list/on/ancaster,"  370 Wilson Street East, Ancaster ON L9G 4S4 ",https://locations.timhortons.ca/en/on/ancaster/370-wilson-street-east,Yes,No,Yes,Yes,7:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,43.227252184053526,-79.97532623818857
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ancaster ,https://locations.timhortons.ca/en/locations-list/on/ancaster,"  777 Garner Road, Ancaster ON L9K 1J4 ",https://locations.timhortons.ca/en/on/ancaster/777-garner-road,No,No,Yes,Yes,Closed,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 3:30 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,43.20761518702267,-79.94891192761665
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ancaster ,https://locations.timhortons.ca/en/locations-list/on/ancaster,"  95 Portia Drive, Ancaster ON L9G 0E8 ",https://locations.timhortons.ca/en/on/ancaster/95-portia-drive,Yes,No,Yes,Yes,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,43.198774793743524,-80.01855959185332
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Ancaster ,https://locations.timhortons.ca/en/locations-list/on/ancaster,"  977 Golf Links Rd, Ancaster ON L9G 3K9 ",https://locations.timhortons.ca/en/on/ancaster/977-golf-links-rd,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,43.22852690388845,-79.94352923703545
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Angus ,https://locations.timhortons.ca/en/locations-list/on/angus,"  1 Roth St, Angus ON L0M 1B0 ",https://locations.timhortons.ca/en/on/angus/1-roth-st,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,44.32602501675768,-79.88785102026903
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Arnprior ,https://locations.timhortons.ca/en/locations-list/on/arnprior,"  2 Staye Court Drive, Arnprior ON K7S 0E7 ",https://locations.timhortons.ca/en/on/arnprior/2-staye-court-drive,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,45.423336213186076,-76.3703544234719
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Arnprior ,https://locations.timhortons.ca/en/locations-list/on/arnprior,"  201 Madawaska Blvd, Arnprior ON K7S 1S6 ",https://locations.timhortons.ca/en/on/arnprior/201-madawaska-blvd,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,45.43235250070336,-76.34297284127352
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Arthur ,https://locations.timhortons.ca/en/locations-list/on/arthur,"  321 Smith St, Arthur ON N0G 1A0 ",https://locations.timhortons.ca/en/on/arthur/321-smith-st,No,No,No,Yes,6:30 AM - 9:00 PM,5:30 AM - 10:00 PM,5:30 AM - 10:00 PM,5:30 AM - 10:00 PM,5:30 AM - 10:00 PM,5:30 AM - 10:00 PM,6:00 AM - 9:30 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,43.83332798901634,-80.54435897643882
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Arthur ,https://locations.timhortons.ca/en/locations-list/on/arthur,"  8008 County Rd, #109, Arthur ON N0G 1A0 ",https://locations.timhortons.ca/en/on/arthur/8008-county-rd,Yes,No,No,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,43.82815207998647,-80.52946768725732
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Aurora ,https://locations.timhortons.ca/en/locations-list/on/aurora,"  126 Wellington St West, Unit # 117, Aurora ON L4G 2N9 ",https://locations.timhortons.ca/en/on/aurora/126-wellington-st-west,Yes,Yes,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,43.998728210105895,-79.47516458084581
 Ontario ,https://locations.timhortons.ca/en/locations-list/on, Aurora ,https://locations.timhortons.ca/en/locations-list/on/aurora,"  1472 Wellington St East, Aurora ON L4G 7B6 ",https://locations.timhortons.ca/en/on/aurora/1472-wellington-st-east,No,No,Yes,Yes,5:30 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:30 AM - 11:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,44.01107848343025,-79.41936432356917
