Provience,hrefs_prov,cities,hrefs_city,address,hrefs_site,Has WiFi,Catering Available,Dine In,Take Out,Dine-In Sunday,Dine-In Monday,Dine-In Tuesday,Dine-In Wednesday,Dine-In Thursday,Dine-In Friday,Dine-In Saturday,Drive-Thru Sunday,Drive-Thru Monday,Drive-Thru Tuesday,Drive-Thru Wednesday,Drive-Thru Thursday,Drive-Thru Friday,Drive-Thru Saturday,lat,lng
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Black Diamond ,https://locations.timhortons.ca/en/locations-list/ab/black-diamond,"  100 3rd St Ne, Black Diamond AB T0L 0H0 ",https://locations.timhortons.ca/en/ab/black-diamond/100-3rd-st-ne,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,50.68901848545718,-114.22634890034159
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Blackfalds ,https://locations.timhortons.ca/en/locations-list/ab/blackfalds,"  6017 Parkwood Rd, Blackfalds AB T0M 0J0 ",https://locations.timhortons.ca/en/ab/blackfalds/6017-parkwood-rd,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,52.38405400998147,-113.78590302252485
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Blairmore ,https://locations.timhortons.ca/en/locations-list/ab/blairmore,"  10501 20th Ave, Blairmore AB T0K 0E0 ",https://locations.timhortons.ca/en/ab/blairmore/10501-20th-ave,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,49.62032951862565,-114.46397937576472
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Bonnyville ,https://locations.timhortons.ca/en/locations-list/ab/bonnyville,"  5401 43 Rd St, #102, Bonnyville AB T9N 2G4 ",https://locations.timhortons.ca/en/ab/bonnyville/5401-43-rd-st,Yes,No,Yes,Yes,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Midnight - 11:59 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,54.27128322155741,-110.72217098005217
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Bonnyville ,https://locations.timhortons.ca/en/locations-list/ab/bonnyville,"  6602-50th Avenue, Bonnyville AB T9N 2M6 ",https://locations.timhortons.ca/en/ab/bonnyville/6602-50th-avenue,Yes,No,Yes,Yes,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,54.266973582220714,-110.77897673043375
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Bow Island ,https://locations.timhortons.ca/en/locations-list/ab/bow-island,"  410 - 7 Ave E, Bow Island AB T0K 0G0 ",https://locations.timhortons.ca/en/ab/bow-island/410-7-ave-e,No,No,No,No,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,49.86913089168684,-111.37117713287994
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Bowden ,https://locations.timhortons.ca/en/locations-list/ab/bowden,"  2 Heritage Drive, Bowden AB T0M 0K0 ",https://locations.timhortons.ca/en/ab/bowden/2-heritage-drive,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,51.933044000497574,-114.02648501751315
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Brooks ,https://locations.timhortons.ca/en/locations-list/ab/brooks,"  100 708 - 4 Street Sw, Brooks AB T1R 0W3 ",https://locations.timhortons.ca/en/ab/brooks/100-708-4-street-sw,Yes,No,Yes,Yes,8:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 6:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,50.57292615090168,-111.90351171973325
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Brooks ,https://locations.timhortons.ca/en/locations-list/ab/brooks,"  1315 2 St W, Brooks AB T1R 1P7 ",https://locations.timhortons.ca/en/ab/brooks/1315-2-st-w,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,50.584981004048586,-111.89756098757384
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  10 Chaparral Dr Se, Unit #103, Calgary AB T2X 3R7 ",https://locations.timhortons.ca/en/ab/calgary/10-chaparral-dr-se,Yes,Yes,Yes,Yes,5:00 AM - 8:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,50.88576090563356,-114.02675709409023
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  100-20 Heritage Meadows, Calgary AB T2H 0B5 ",https://locations.timhortons.ca/en/ab/calgary/100-20-heritage-meadows,No,No,Yes,Yes,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,50.9859000896038,-114.04376246689063
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  #100 202 6th Ave Sw Bow Valley Bottom, Calgary AB T2P 2V7 ",https://locations.timhortons.ca/en/ab/calgary/-100-202-6th-ave-sw-bow-valley-bottom,Yes,Yes,Yes,Yes,Closed,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,Closed,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,6:00 AM - 9:00 PM,6:00 AM - 9:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,51.04765409652501,-114.0658004181766
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  100 Beddington Blvd Ne, Calgary AB T3K 2E2 ",https://locations.timhortons.ca/en/ab/calgary/100-beddington-blvd-ne,Yes,No,Yes,Yes,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,5:00 AM - 10:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,51.12551099673169,-114.06936499014002
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  100 Walden Gate, Calgary AB T2X 0P3 ",https://locations.timhortons.ca/en/ab/calgary/100-walden-gate,No,No,Yes,Yes,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,Closed,Closed,Closed,Closed,Closed,Closed,Closed,50.86815387982324,-114.03776211386442
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  10125 19th St Ne, Calgary AB T3J 3P9 ",https://locations.timhortons.ca/en/ab/calgary/10125-19th-st-ne,Yes,No,Yes,Yes,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,Midnight - 12:00 AM,51.13741975155993,-114.0135459760576
 Alberta ,https://locations.timhortons.ca/en/locations-list/ab, Calgary ,https://locations.timhortons.ca/en/locations-list/ab/calgary,"  1015 4th St Sw, Calgary AB T2R 1J4 ",https://locations.timhortons.ca/en/ab/calgary/1015-4th-st-sw,Yes,No,Yes,Yes,Closed,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,5:00 AM - 8:00 PM,7:00 AM - 4:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,51.0428917086883,-114.07204233765232
